"exchange","symbol","name","country","industry","sector","ipoyear","lastsale","netchange","pctchange","volume","marketCap","updated","url"
"amex","AAMC","Altisource Asset Management Corp Com","United States","Real Estate","Finance","","$3.55","0.05","1.429%","7496","9812676.00","2024-01-15","/market-activity/stocks/aamc"
"amex","AAU","Almaden Minerals Ltd. Common Shares","Canada","","","2015","$0.135","-0.0001","-0.074%","412842","18524890.00","2024-01-15","/market-activity/stocks/aau"
"amex","ACU","Acme United Corporation. Common Stock","United States","Industrial Machinery/Components","Consumer Discretionary","1988","$43.04","1.47","3.536%","11080","154301413.00","2024-01-15","/market-activity/stocks/acu"
"amex","ADRT","Ault Disruptive Technologies Corporation Common Stock","","Blank Checks","Finance","2022","$11.11","0.00","0.00%","34","159706250.00","2024-01-15","/market-activity/stocks/adrt"
"amex","AE","Adams Resources & Energy Inc. Common Stock","United States","Oil Refining/Marketing","Energy","1980","$24.25","0.50","2.105%","5613","61751194.00","2024-01-15","/market-activity/stocks/ae"
"amex","AEF","abrdn Emerging Markets Equity Income Fund Inc. Common Stock","United States","Finance/Investors Services","Finance","","$4.93","-0.02","-0.404%","81621","529297125.00","2024-01-15","/market-activity/stocks/aef"
"amex","AEON","AEON Biopharma Inc. Class A Common Stock","United States","Biotechnology: Pharmaceutical Preparations","Health Care","","$7.16","0.11","1.56%","7036","266062736.00","2024-01-15","/market-activity/stocks/aeon"
"amex","AGE","AgeX Therapeutics Inc. Common Stock","","Biotechnology: Pharmaceutical Preparations","Health Care","2018","$0.405","-0.004","-0.978%","32270","15370261.00","2024-01-15","/market-activity/stocks/age"
"amex","AIM","AIM ImmunoTech Inc. Common Stock","United States","Biotechnology: Biological Products (No Diagnostic Substances)","Health Care","1997","$0.4522","-0.0029","-0.637%","44318","22086508.00","2024-01-15","/market-activity/stocks/aim"
"amex","AINC","Ashford Inc. (Holding Company) Common Stock","United States","Professional Services","Consumer Discretionary","2014","$3.60","-0.02","-0.552%","372","11570310.00","2024-01-15","/market-activity/stocks/ainc"
"amex","AIRI","Air Industries Group Common Stock","United States","Military/Government/Technical","Industrials","","$3.3299","0.0899","2.775%","9685","10998810.00","2024-01-15","/market-activity/stocks/airi"
"amex","AMBI","Ambipar Emergency Response Class A Ordinary Shares","","Environmental Services","Industrials","","$7.40","0.00","0.00%","59","410180890.00","2024-01-15","/market-activity/stocks/ambi"
"amex","AMBO","Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares","China","Other Consumer Services","Real Estate","","$0.145","0.0123","9.269%","39099","3779245.00","2024-01-15","/market-activity/stocks/ambo"
"amex","AMPE","Ampio Pharmaceuticals Inc.","United States","Biotechnology: Pharmaceutical Preparations","Health Care","2022","$1.91","-0.18","-8.612%","129679","1589160.00","2024-01-15","/market-activity/stocks/ampe"
"amex","AMS","American Shared Hospital Services Common Stock","United States","Medical Specialities","Health Care","1988","$2.70","0.10","3.846%","18778","17010000.00","2024-01-15","/market-activity/stocks/ams"
"amex","APT","Alpha Pro Tech Ltd. Common Stock","Canada","Industrial Specialties","Health Care","2000","$5.25","0.04","0.768%","37650","61147254.00","2024-01-15","/market-activity/stocks/apt"
"amex","AREN","The Arena Group Holdings Inc. Common Stock","United States","Medical/Dental Instruments","Health Care","2022","$1.31","-0.07","-5.072%","101350","31223707.00","2024-01-15","/market-activity/stocks/aren"
"amex","ARMN","Aris Mining Corporation Common Shares","","","","2023","$3.325","0.115","3.583%","142859","458294526.00","2024-01-15","/market-activity/stocks/armn"
"amex","ARMP","Armata Pharmaceuticals Inc. Common Stock","United States","Biotechnology: Biological Products (No Diagnostic Substances)","Health Care","","$3.73","0.09","2.473%","18016","134826721.00","2024-01-15","/market-activity/stocks/armp"
"amex","ASM","Avino Silver & Gold Mines Ltd. Common Shares (Canada)","Canada","","","","$0.477","0.01","2.141%","396621","60009533.00","2024-01-15","/market-activity/stocks/asm"
"amex","ASXC","Asensus Surgical Inc. Common Stock","United States","Medical/Dental Instruments","Health Care","","$0.326","-0.0085","-2.541%","1251978","86167260.00","2024-01-15","/market-activity/stocks/asxc"
"amex","ATEK","Athena Technology Acquisition Corp. II Class A Common Stock","","Blank Checks","Finance","2022","$11.01","0.00","0.00%","357","0.00","2024-01-15","/market-activity/stocks/atek"
"amex","ATNM","Actinium Pharmaceuticals Inc. (Delaware) Common Stock","United States","Biotechnology: Pharmaceutical Preparations","Health Care","","$5.14","-0.03","-0.58%","165359","140905087.00","2024-01-15","/market-activity/stocks/atnm"
"amex","AULT","Ault Alliance Inc. Common Stock","United States","Industrial Machinery/Components","Technology","1997","$0.069","-0.0021","-2.954%","17175015","4743263.00","2024-01-15","/market-activity/stocks/ault"
"amex","AULT^D","Ault Alliance Inc. 13.00% Series D Cumulative Redeemable Perpetual Preferred Stock","United States","","","","$19.9999","0.9871","5.192%","300","","2024-01-15","/market-activity/stocks/ault^d"
"amex","AUMN","Golden Minerals Company Common Stock","United States","Precious Metals","Basic Materials","","$0.4623","-0.0227","-4.68%","144013","6511348.00","2024-01-15","/market-activity/stocks/aumn"
"amex","AUST","Austin Gold Corp. Common Shares","","","","2022","$0.66","-0.0215","-3.155%","11743","8758200.00","2024-01-15","/market-activity/stocks/aust"
"amex","AWX","Avalon Holdings Corporation Common Stock","United States","Environmental Services","Utilities","1998","$2.20","0.09","4.265%","2833","8578748.00","2024-01-15","/market-activity/stocks/awx"
"amex","AZTR","Azitra Inc Common Stock","","Biotechnology: Pharmaceutical Preparations","Health Care","2023","$1.20","0.165","15.942%","55572","14517172.00","2024-01-15","/market-activity/stocks/aztr"
"amex","BACA","Berenson Acquisition Corp. I Class A Common Stock","","Blank Checks","Finance","2021","$10.28","0.02","0.195%","3483","0.00","2024-01-15","/market-activity/stocks/baca"
"amex","BATL","Battalion Oil Corporation Common Stock","United States","Oil & Gas Production","Energy","","$9.59","-0.02","-0.208%","206481","157818439.00","2024-01-15","/market-activity/stocks/batl"
"amex","BCV","Bancroft Fund Ltd.","United States","Finance/Investors Services","Finance","1972","$15.72","-0.05","-0.317%","8900","0.00","2024-01-15","/market-activity/stocks/bcv"
"amex","BCV^A","Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares","United States","","","","$22.97","0.00","0.00%","39","","2024-01-15","/market-activity/stocks/bcv^a"
"amex","BDL","Flanigan's Enterprises Inc. Common Stock","United States","Restaurants","Consumer Discretionary","1972","$28.00","1.29","4.83%","4851","52042116.00","2024-01-15","/market-activity/stocks/bdl"
"amex","BEEP","Mobile Infrastructure Corporation Common Stock","","Blank Checks","Finance","2023","$3.845","-0.02","-0.517%","16249","0.00","2024-01-15","/market-activity/stocks/beep"
"amex","BGI","Birks Group Inc. Common Stock","Canada","Consumer Specialties","Consumer Discretionary","","$4.2999","-0.1968","-4.377%","19207","47169903.00","2024-01-15","/market-activity/stocks/bgi"
"amex","BHB","Bar Harbor Bankshares Inc. Common Stock","United States","Major Banks","Finance","1997","$27.56","0.04","0.145%","25222","417698561.00","2024-01-15","/market-activity/stocks/bhb"
"amex","BHM","Bluerock Homes Trust Inc. Class A Common Stock","","Real Estate Investment Trusts","Real Estate","2022","$14.48","-0.007","-0.048%","2126","56178838.00","2024-01-15","/market-activity/stocks/bhm"
"amex","BITE","Bite Acquisition Corp. Common Stock","","Blank Checks","Finance","2021","$10.72","0.00","0.00%","17","0.00","2024-01-15","/market-activity/stocks/bite"
"amex","BKTI","BK Technologies Corporation Common Stock","United States","Radio And Television Broadcasting And Communications Equipment","Technology","","$12.355","0.055","0.447%","10991","42692690.00","2024-01-15","/market-activity/stocks/bkti"
"amex","BLUA","BlueRiver Acquisition Corp. Class A Ordinary Shares","","Blank Checks","Finance","2021","$10.75","0.00","0.00%","52","0.00","2024-01-15","/market-activity/stocks/blua"
"amex","BMTX","BM Technologies Inc. Common Stock","","Major Banks","Finance","2018","$2.00","0.10","5.263%","41660","23739850.00","2024-01-15","/market-activity/stocks/bmtx"
"amex","BQ","Boqii Holding Limited American Depositary Shares representing Class A Ordinary Shares","","Other Specialty Stores","Consumer Discretionary","2020","$0.4001","0.0001","0.025%","55530","2603914.00","2024-01-15","/market-activity/stocks/bq"
"amex","BRBS","Blue Ridge Bankshares Inc. Common Stock","United States","Commercial Banks","Finance","","$3.02","-0.05","-1.629%","70219","57961262.00","2024-01-15","/market-activity/stocks/brbs"
"amex","BRN","Barnwell Industries Inc. Common Stock","United States","Oil & Gas Production","Energy","1965","$2.46","-0.03","-1.205%","15521","24600261.00","2024-01-15","/market-activity/stocks/brn"
"amex","BTG","B2Gold Corp Common shares (Canada)","Canada","Precious Metals","Basic Materials","","$3.11","0.09","2.98%","8900399","4044180640.00","2024-01-15","/market-activity/stocks/btg"
"amex","BTTR","Better Choice Company Inc. Common Stock","","Beverages (Production/Distribution)","Consumer Staples","2021","$0.272","-0.003","-1.091%","40897","8726072.00","2024-01-15","/market-activity/stocks/bttr"
"amex","BURU","Nuburu Inc. Common Stock","United States","Industrial Machinery/Components","Technology","2020","$0.19","0.043","29.252%","17405550","6758388.00","2024-01-15","/market-activity/stocks/buru"
"amex","CANF","Can-Fite Biopharma Ltd Sponsored ADR (Israel)","Israel","Biotechnology: Pharmaceutical Preparations","Health Care","","$2.00","-0.02","-0.99%","19812","8146776.00","2024-01-15","/market-activity/stocks/canf"
"amex","CATX","Perspective Therapeutics Inc. Common Stock","United States","Medical/Dental Instruments","Health Care","","$0.575","-0.025","-4.167%","313858","161328340.00","2024-01-15","/market-activity/stocks/catx"
"amex","CCEL","Cryo-Cell International Inc. Common Stock","United States","Managed Health Care","Health Care","2022","$5.84","0.23","4.10%","7461","48394824.00","2024-01-15","/market-activity/stocks/ccel"
"amex","CEI","Camber Energy Inc. Common Stock","United States","Oil & Gas Production","Energy","","$0.183","-0.0045","-2.40%","3512986","19678219.00","2024-01-15","/market-activity/stocks/cei"
"amex","CET","Central Securities Corporation Common Stock","United States","Finance/Investors Services","Finance","1951","$37.37","0.02","0.054%","48579","9044481724.00","2024-01-15","/market-activity/stocks/cet"
"amex","CEV","Eaton Vance California Municipal Income Trust Shares of Beneficial Interest","United States","Investment Bankers/Brokers/Service","Finance","1999","$10.45","-0.02","-0.191%","13359","73500859.00","2024-01-15","/market-activity/stocks/cev"
"amex","CHAA","Catcha Investment Corp. Class A Ordinary Shares","","Blank Checks","Finance","2021","$11.16","0.00","0.00%","7611","0.00","2024-01-15","/market-activity/stocks/chaa"
"amex","CIK","Credit Suisse Asset Management Income Fund Inc. Common Stock","United States","Finance/Investors Services","Finance","","$3.03","-0.02","-0.656%","90944","0.00","2024-01-15","/market-activity/stocks/cik"
"amex","CIX","CompX International Inc. Common Stock","United States","Industrial Machinery/Components","Consumer Discretionary","1998","$29.60","6.35","27.312%","87814","364487207.00","2024-01-15","/market-activity/stocks/cix"
"amex","CKX","CKX Lands Inc. Common Stock","United States","Oil & Gas Production","Energy","2003","$12.97","0.00","0.00%","149","25608318.00","2024-01-15","/market-activity/stocks/ckx"
"amex","CLDI","Calidi Biotherapeutics Inc. Common Stock","","Biotechnology: Biological Products (No Diagnostic Substances)","Health Care","2021","$1.29","-0.03","-2.273%","23946","0.00","2024-01-15","/market-activity/stocks/cldi"
"amex","CLM","Cornerstone Strategic Value Fund Inc. New Common Stock","United States","Finance/Investors Services","Finance","2003","$7.06","-0.13","-1.808%","2251466","0.00","2024-01-15","/market-activity/stocks/clm"
"amex","CMCL","Caledonia Mining Corporation Plc Common Shares","Canada","Precious Metals","Basic Materials","","$11.18","0.01","0.09%","69078","214544200.00","2024-01-15","/market-activity/stocks/cmcl"
"amex","CMT","Core Molding Technologies Inc Common Stock","United States","Plastic Products","Industrials","1996","$17.08","-0.06","-0.35%","61171","154415224.00","2024-01-15","/market-activity/stocks/cmt"
"amex","COE","51Talk Online Education Group American depositary shares each representing 60 Class A ordinary shares","China","Other Consumer Services","Real Estate","2016","$7.90","0.05","0.637%","355","44479133.00","2024-01-15","/market-activity/stocks/coe"
"amex","COHN","Cohen & Company Inc.","United States","Investment Bankers/Brokers/Service","Finance","","$6.79","-0.05","-0.731%","1522","12366946.00","2024-01-15","/market-activity/stocks/cohn"
"amex","CPHI","China Pharma Holdings Inc. Common Stock","China","Biotechnology: Pharmaceutical Preparations","Health Care","","$0.103","0.008","8.421%","2736501","3394022.00","2024-01-15","/market-activity/stocks/cphi"
